;;Parameter;Unit;Year;1;2;3;4;5;6;7;8;9;10;11;12
"Station No: 01-11-00-001; Station Name: MERIC NEHRI-KAPIKULE";;;;;;;;;;;;;;;;
;Al;;;;;;;;;;;;;;;
;;Al;µg/L;2013;;;;168.25;;156.87;;;;161.21;;
;As;;;;;;;;;;;;;;;
;;As;µg/L;1987;;;;4;;1;;;;6;;
;;As;µg/L;1992;;;32;;;;;;;;;
;;As;µg/L;1994;;;;;;9;;;;;;
;;As;µg/L;2013;;3.49;;1.17;;52.2;;;;2.74;;
;BOD5;;;;;;;;;;;;;;;
;;BOD5;mg/L;1985;;;;5.1;;6.1;;7.2;;7.7;;7.3
;;BOD5;mg/L;1986;;;6.5;7;;4.9;;3.6;;6.8;;9.7
;;BOD5;mg/L;1987;;9.2;;3.8;;4.2;;;;3.8;;9.6
;;BOD5;mg/L;1988;;9.3;;2.7;;5.7;;7;;2.1;;6.7
;;BOD5;mg/L;1989;;5;;3.6;;6;;6.7;;4.5;;8
;;BOD5;mg/L;1990;;3.8;;5.4;;6.6;;6.7;;2.2;;6.8
;;BOD5;mg/L;1991;;5.4;;3.2;;1.5;;3.3;;1.7;;3.8
;;BOD5;mg/L;1992;;4.6;;2.6;;1.8;;7.7;;2.1;;4.1
;;BOD5;mg/L;1993;;4;;2.4;;5.7;;4.3;;0.6;;2.2
;;BOD5;mg/L;1994;5.1;1.6;2.4;3.7;7.8;7.8;10.5;7;1.2;2.2;3.5;3.1
;;BOD5;mg/L;1995;;3.5;;3.6;;1.8;;6;;3.4;;2.5
;;BOD5;mg/L;1996;;;;2.6;;5;;4.4;;1.3;;1.8
;;BOD5;mg/L;1997;;6.4;;2.5;;2.3;;3.8;;1.5;;2.3
;;BOD5;mg/L;1998;;;;1;;1.6;;7.9;;1.2;;
;;BOD5;mg/L;1999;;2.7;;2.1;;2.2;;6;;1.3;;2
;;BOD5;mg/L;2000;;2.9;;1.9;;3.3;;6.3;;1.8;;2.1
;;BOD5;mg/L;2001;;2;;2.6;;6.2;;7.3;;1.1;;
;;BOD5;mg/L;2002;;1.1;;1.8;;4.5;;2.5;;1.4;;
;;BOD5;mg/L;2003;;2.6;;2.2;;4;;2.9;;1.3;;2.2
;;BOD5;mg/L;2004;;1.6;;1.4;;0.4;;0.9;;2;;7
;;BOD5;mg/L;2005;;0;;2;;9;;2;2;;;2
;;BOD5;mg/L;2006;;0;;1;;6;;6;;1;;
;;BOD5;mg/L;2007;;3;;23;;6;;7;;;;
;;BOD5;mg/L;2008;;4;;3;;12;;11;;4;;3
;;BOD5;mg/L;2009;;3;;8;;11;;;;;;
;;BOD5;mg/L;2010;;5;;2;;6;;5;;2;;2
;;BOD5;mg/L;2011;;10;;3;;0;;;;;;
;;BOD5;mg/L;2012;;6;;3;;;;8;;0;;6
;;BOD5;mg/L;2013;;4;;3;;6;;3;;4;;
;Ca++;;;;;;;;;;;;;;;
;;Ca++;mg/L;1985;;;;76;;112;;110;;90;;100
;;Ca++;mg/L;1986;;;68;82;;62;;108;;100;;86
;;Ca++;mg/L;1987;;66;;62;;80;;;;94;;84
;;Ca++;mg/L;1988;;98;;52;;64;;94;;88;;96
;;Ca++;mg/L;1989;;92;;74;;84;;82;;80;;72
;;Ca++;mg/L;1990;;72;;60;;102;;130;;104;;78
;;Ca++;mg/L;1991;;100;;50;;50;;86;;70;;62
;;Ca++;mg/L;1992;;102;;72;;46;;70;;88;;96
;;Ca++;mg/L;1993;;86;;78;;80;;100;;94;;92
;;Ca++;mg/L;1994;102;86;98;96;116;90;66;78;112;76;86;106
;;Ca++;mg/L;1995;;74;;52;;58;;86;;92;;58
;;Ca++;mg/L;1996;;;;50;;76;;76;;74;;72
;;Ca++;mg/L;1997;;88;;56;;68;;78;;92;;84
;;Ca++;mg/L;1998;;;;50;;58;;64;;72;;
;;Ca++;mg/L;1999;;62;;62;;78;;70;;70;;52
;;Ca++;mg/L;2000;;58;;62;;66;;82;;78;;76
;;Ca++;mg/L;2001;;68;;82;;92;;42;;78;;
;;Ca++;mg/L;2002;;82;;72;;86;;64;;52;;
;;Ca++;mg/L;2003;;58;;38;;70;;72;;70;;64
;;Ca++;mg/L;2004;;60;;54;;42;;64;;68;;52
;;Ca++;mg/L;2005;;34;;44;;38;;46;62;;;56
;;Ca++;mg/L;2006;;58;;48;;42;;52;;72;;
;;Ca++;mg/L;2007;;76;;64;;50;;52;;;;
;;Ca++;mg/L;2008;;70;;44;;50;;66;;76;;72
;;Ca++;mg/L;2009;;54;;46;;52;;;;;;
;;Ca++;mg/L;2010;;44;;50;;48;;68;;64;;56
;;Ca++;mg/L;2011;;72;;90;;86;;;;;;
;;Ca++;mg/L;2012;;1.48;;61.6;;;;74.8;;84;;67.6
;;Ca++;mg/L;2013;;29.11;;40.28;;65.58;;60.52;;78.6;;
;Cd;;;;;;;;;;;;;;;
;;Cd;µg/L;2013;;0.14;;0.02;;0;;;;0.04;;
;Cl-;;;;;;;;;;;;;;;
;;Cl-;mg/lt;1985;;;;24.5;;41.1;;58.7;;43;;35.2
;;Cl-;mg/lt;1986;;;26.4;28.4;;19.6;;33.3;;34;;34
;;Cl-;mg/lt;1987;;26;;26;;38;;;;34.9;;31.1
;;Cl-;mg/lt;1988;;38.9;;17.5;;28.9;;48.2;;38.6;;38.6
;;Cl-;mg/lt;1989;;44.4;;32;;36;;40;;32;;32
;;Cl-;mg/lt;1990;;31.1;;31.1;;42.5;;70.9;;41.1;;34
;;Cl-;mg/lt;1991;;42.5;;19.1;;18.4;;28.4;;29.8;;26.9
;;Cl-;mg/lt;1992;;32.6;;17.7;;17;;34.03;;29.8;;29.8
;;Cl-;mg/lt;1993;;28.4;;29.8;;34;;45.4;;35.5;;34
;;Cl-;mg/lt;1994;35.5;36.9;36.9;34;36.9;42.5;38.3;45.4;44;31.2;35.5;36.9
;;Cl-;mg/lt;1995;;31.2;;21.3;;17;;29.8;;32.6;;21.3
;;Cl-;mg/lt;1996;;;;16.3;;29.8;;31.2;;25.5;;20.6
;;Cl-;mg/lt;1997;;31.2;;18.4;;17;;18.4;;22.7;;26.9
;;Cl-;mg/lt;1998;;;;14.9;;18.4;;28.4;;28.4;;
;;Cl-;mg/lt;1999;;0.7;;0.28;;0.43;;0.4;;0.34;;0.26
;;Cl-;mg/lt;2000;;19.9;;19.1;;25.5;;28.4;;28.4;;24.1
;;Cl-;mg/lt;2001;;24.1;;28.4;;34.1;;26.2;;25.5;;
;;Cl-;mg/lt;2002;;29.8;;24.1;;31.2;;21.3;;9.9;;
;;Cl-;mg/lt;2003;;19.9;;11.3;;21.3;;24.1;;25.5;;25.5
;;Cl-;mg/lt;2004;;21.3;;22.7;;13.5;;22.7;;24.1;;17
